Filename,WC,WPS,Sixltr,Dic,Numerals,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
InternetArchive_British_1854_THORNTON_Tom_TomThorntonor.txt,124828,34.34,18.08,78.5,0.46,54.21,13.85,9.71,3.52,0.68,1.56,3.03,0.91,4.14,6.69,11.22,7.45,3.29,5.03,1.66,3.54,13.06,7.21,1.79,2.72,0.91,0.02,10.13,0.44,0.29,0.88,6.27,4.2,2.03,0.42,0.51,0.59,15.44,1.76,1.06,1.97,2.63,1.9,0.53,4.74,2.48,2.35,0.92,0.71,0.54,2.09,1.09,0.5,0.18,0.37,10.83,1.3,4.98,4.45,1.06,1.36,0.45,0.46,0.89,0.52,0.2,0.18,0.22,0.13,3.06,9.21,0.13,1.25,0.53,0.43,1.79,2.61,1.79,0.11,8.37,28.84
Chadwyck_American_1861_Holmes_ElsieVennerA.txt,141013,22.32,17.8,84.15,0.02,56.96,13.38,8.01,0.9,0.34,0.6,5.15,1.01,5.37,8.33,11.98,7.35,5.68,4.13,1.1,3.43,15.39,6.63,1.46,2.87,1.08,0.11,12,0.46,0.19,1.48,5.17,3.18,1.93,0.47,0.49,0.5,15.69,2.13,0.92,1.6,3.13,1.52,0.5,4.85,2.65,3.15,1.46,0.83,0.75,2.43,1.2,0.82,0.29,0.24,13.05,1.84,6.45,4.7,1.59,1.02,0.7,0.56,0.45,0.57,0.22,0.07,0.17,0.19,3.99,7.98,0.08,0.59,0.3,0.29,1.87,1.56,1.91,0.04,0.02,17.89
InternetArchive_British_1879_Brooke_Thequeenof.txt,142701,16.24,17.8,83.96,0.39,56.54,15.46,10.63,2.36,0.42,1.35,5.78,0.73,4.83,7.5,12.36,7.85,5.3,4.63,1.41,3.13,14.25,5.88,1.43,2.35,1.02,0.01,14.38,0.74,0.32,1.76,6.99,4.64,2.28,0.46,0.56,0.79,14.43,2.18,0.98,1.8,2.09,1.32,0.51,4.46,2.11,2.66,0.98,0.88,0.6,1.97,0.86,0.49,0.46,0.16,11.78,1.6,5.57,4.55,0.93,1.43,0.67,0.48,0.74,0.37,0.18,0.1,0.12,0.1,6.38,8.09,0.17,0.7,0.31,0.23,0.82,0.4,2.59,0.03,0.86,20.26
Chadwyck_American_1872_Hawthorne_SeptimiusFeltonor.txt,62531,28.15,17.26,85.81,0,59.75,14.98,8.26,1.64,0.42,1.08,4.39,0.73,6.71,7.52,12.36,7.73,5.68,3.96,1.32,4.25,15.1,8.14,1.52,2.69,0.74,0.06,10.69,0.37,0.2,0.97,5.67,3.57,2.06,0.44,0.6,0.53,17.26,2.31,1.28,1.59,3.12,1.53,0.46,5.91,2.62,2.78,1.06,0.89,0.61,2.25,0.86,0.85,0.22,0.36,12.89,1.76,6.42,4.59,1.18,1.32,0.52,0.4,0.37,0.63,0.61,0.14,0.17,0.12,2.77,10.6,0.03,1.55,0.4,0.38,0.81,2.47,0.47,0.08,0,19.29
InternetArchive_British_1828_White_Charles_1793_1861_HerbertMilton.txt,126374,37.13,21.7,80.82,0.09,56.02,13.57,9.51,2.1,0.26,1.44,4.83,0.88,4.07,8.27,9.56,6.63,3.96,3.45,1.18,2.81,15.52,6.34,1.34,2.69,0.94,0.02,12.7,0.64,0.26,1.58,5.96,3.75,2.16,0.47,0.62,0.67,14.58,1.91,1.13,1.35,2.43,1.59,0.64,4.51,2.3,1.94,0.69,0.64,0.51,1.53,0.85,0.37,0.16,0.18,11.17,1.59,5.49,4.03,1.09,1.66,0.62,0.41,0.53,0.53,0.27,0.11,0.16,0.05,2.67,9.59,0.26,1.23,0.26,0.63,1.1,2.56,1.5,0.08,0.59,20.06
InternetArchive_British_1870_Peacock_Edward_1831_1915_RalfSkirlaughthe.txt,214134,21.46,16.95,82.75,0.06,57.77,14.03,9.25,1.98,0.6,1.11,4.63,0.94,4.78,8.48,13.36,8.9,6.15,4.69,1.4,3.68,14.35,6.29,1.97,2.59,0.99,0.06,12.75,0.62,0.28,1.4,4.93,3.01,1.89,0.39,0.5,0.51,14.68,2.06,0.97,1.69,2.58,1.42,0.56,3.92,2.89,2.48,0.84,1.02,0.53,1.5,0.71,0.41,0.14,0.29,12.05,1.72,6.06,4.22,1.05,1.12,0.71,0.64,0.42,0.75,0.22,0.11,0.18,0.14,4.65,8.11,0.04,0.66,0.28,0.12,1.05,2.18,2.78,0.15,0.71,20.43
InternetArchive_British_1843_Chamier_Theperilsof.txt,160494,26.41,17.84,83.9,0.06,57.35,15.08,10.82,3.05,0.39,2.06,4.75,0.57,4.26,8.3,12.56,7.78,4.96,4.99,1.52,3.23,13.72,6.68,1.57,2.55,1.14,0.02,13.26,0.69,0.28,1.18,6.26,4.06,2.17,0.57,0.59,0.65,15.17,1.84,1.12,1.63,2.28,1.69,0.71,4.95,2.16,2.97,0.96,1.18,0.72,2.17,1.11,0.49,0.31,0.28,12.03,1.89,5.41,4.69,0.94,1.25,0.52,0.53,0.89,0.43,0.31,0.12,0.11,0.1,3.67,9.2,0.14,1.54,0.38,0.41,0.88,3.11,1.35,0.03,0.35,20.7
InternetArchive_British_1886_Combe_ArnoldRobura.txt,202147,21.54,18.31,84.11,0.08,58.17,15.22,10.04,2.15,0.46,1.56,4.98,0.89,5.18,7.2,13.61,8.76,5.46,5.58,1.31,4.19,14.72,6.25,2.1,2.79,0.79,0.03,12.65,0.41,0.29,1.2,5.94,3.73,2.16,0.5,0.51,0.62,16.05,2.35,1.28,1.75,2.89,1.66,0.64,4.24,2.53,2.61,0.86,1.04,0.6,1.58,0.75,0.45,0.18,0.23,12,1.62,5.68,4.55,1.14,1.3,0.59,0.44,0.44,0.43,0.17,0.16,0.22,0.11,4.83,6.65,0.32,0.98,0.47,0.22,1.03,3.17,3.15,0.05,0.61,21.08
InternetArchive_British_1865_Oliphant_Agnes.txt,440654,24.14,15.99,86.47,0.1,59.89,15.92,9.99,1.79,0.18,1.27,6.24,0.51,5.93,6.76,14.59,9.1,7.11,5.11,1.08,3.77,14.6,7.46,2.18,2.82,0.63,0.01,14.22,0.82,0.17,1.53,5.81,3.52,2.23,0.56,0.46,0.69,17.56,2.49,1.09,1.75,2.8,1.82,0.58,5.15,2.96,3.1,1.03,1.34,0.59,1.65,0.86,0.53,0.16,0.1,12.01,1.81,5.85,4.32,0.71,1.13,0.45,0.52,0.34,0.33,0.13,0.12,0.11,0.17,3.93,7.76,0.04,1.19,0.28,0.2,0.73,1.82,1.72,0.04,1.45,18.9
Chadwyck_British_1805_Opie_AdelineMowbrayOr.txt,106937,23.33,21.85,85.38,0,57.63,16.49,12.14,2.6,0.23,1.64,7.12,0.55,4.35,6.22,11.95,7.37,5.46,3.93,1.3,3.57,14.82,7.7,1.61,1.97,0.59,0.01,15.81,0.74,0.28,1.82,7.62,4.48,3.01,0.72,0.66,1.11,16.13,2.57,1.21,1.73,1.86,1.47,0.59,5.12,2.35,2.54,0.87,0.95,0.63,2.1,0.84,0.77,0.33,0.16,11.19,1.65,4.81,4.62,0.9,1.42,0.38,0.52,0.46,0.48,0.27,0.1,0.14,0.07,3.32,9.4,0.67,1.55,0.46,0.77,0.62,4.12,0.74,0.06,0,21.52
"2011_Connelly,Michael_TheDrop_BS.txt",119827,10.1,14.39,85.07,0.12,57.77,16.21,10.78,2.25,0.7,1.95,5.1,0.78,5.43,8.39,15.96,8.94,8.26,5.91,0.85,4.31,13.33,5.9,1.91,1.64,1.29,0.12,13.44,0.31,0.16,0.7,3.18,1.7,1.46,0.25,0.7,0.22,15.34,2.23,1.07,1.65,2.14,1,0.74,5.24,2.2,2.72,1.18,1.02,0.48,1.54,0.86,0.32,0.13,0.25,15.8,2.89,7.5,5.31,1.84,1.04,0.75,0.84,0.53,0.06,0.42,0.33,0.14,0.18,8.74,3.34,0.01,0,1.16,0.05,0.93,6.13,3.02,0.01,0.03,23.08
"2010_HaydenTaylor,Drew_MotorcyclesandSweetgrass_PW.txt",95489,10.14,15.97,85.85,0.02,56.89,15.71,10.33,2.14,0.27,1.64,5.43,0.84,5.38,7.98,14.77,9.06,7.32,5.29,0.8,4.78,12.61,5.4,1.63,2.66,1.3,0.14,13.2,0.84,0.08,1.19,4.68,2.77,1.86,0.42,0.6,0.35,15.69,2.54,1.06,1.62,2.89,1.4,0.5,4.42,2.36,3.3,1.3,1.07,0.78,2.38,1.23,0.4,0.18,0.65,14.73,2.24,7.1,5.47,0.91,1,0.99,0.67,0.25,0.25,0.18,0.37,0.18,0.28,8.54,6.51,0.04,0.02,1.15,0.2,0.96,4.51,2.82,0.03,0.03,24.42
"2013_Moore,Lisa_Caught_PW.txt",87401,11.05,13.6,83.76,0.03,56.89,15.53,11.68,1.28,0.31,1.2,7.53,1.37,3.85,10.09,15.49,8.21,9.77,3.82,0.59,3.09,13.53,6.16,1.23,1.47,0.92,0.15,16.05,0.39,0.11,1.11,2.76,1.54,1.2,0.23,0.34,0.37,13.81,1.49,0.72,1.35,1.6,0.83,0.57,6.51,1.5,5.77,1.81,2.38,1.25,3.54,2.33,0.32,0.25,0.75,14.92,2.59,8.39,3.96,0.74,0.66,0.99,0.78,0.39,0.19,0.13,0.1,0.02,0.2,8.62,4.24,0.1,0.09,0.44,0,0.63,0.01,2.53,0,0,16.4
"2014_Thomas,Joan_OpeningSky_PW.txt",112792,12,14.77,83.93,0.04,55.9,16.06,11.57,1.33,0.37,1.31,7.3,1.25,4.49,8.65,12.96,7.68,4.34,7.06,0.65,3.87,14.2,6.04,1.44,1.61,1.01,0.19,15.01,0.5,0.17,1,3.82,2.08,1.71,0.35,0.59,0.42,13.62,1.71,0.98,0.97,1.61,1.15,0.43,5.51,1.88,4.28,1.62,1.34,1.08,3.22,1.86,0.52,0.3,0.67,16.14,2.37,8.69,5,1.12,0.9,1.07,1.07,0.4,0.25,0.14,0.26,0.15,0.28,7.47,5.79,0.21,0.11,0.77,0.14,1.44,4.02,3.38,0.09,0.01,23.09
"2013_Grisham,John_SycamoreRow_CT.txt",170190,11.51,16.3,83.48,0.26,55.21,13.19,9.35,1.66,0.56,1.14,4.92,1.06,3.84,7.98,14.36,8.52,7.62,4.46,1.26,4.04,12.74,6.72,2.09,2.49,1.72,0.11,13.09,0.61,0.1,0.94,4.33,2.38,1.91,0.39,0.63,0.41,15.61,1.9,0.98,1.48,2.33,1.55,0.61,5.36,2.29,2.8,1,1.22,0.49,1.75,0.67,0.48,0.1,0.54,14.52,1.95,6.71,5.74,2,1.16,0.9,0.85,0.98,0.19,0.33,0.23,0.13,0.13,7.84,7.21,0.12,0.16,0.87,0.03,0.71,4.75,2.58,0.02,0.08,24.12
